kecamatan,luas_km2,jumlah_penduduk,F1_kepadatan,F2_skor_poi,F3_kompetitor,F4_jarak_jalan_m,skor_komposit,label_peluang,centroid_lat,centroid_lng
Andir,4.55,99653.0,21899.7,39.0,11,4829.6,0.5753272837204627,Tinggi,-6.909754,107.579314
Antapani,4.231,82573.0,19517.4,2.0,6,4404.4,0.418843354145582,Sedang,-6.916882,107.661176
Arcamanik,7.335,84255.0,11486.1,16.0,8,6133.8,0.3895071926902851,Rendah,-6.920316,107.677011
Astanaanyar,2.642,0.0,0.0,1.5,2,2621.3,0.32819845039990203,Rendah,-6.933676,107.601608
Babakan Ciparay,7.068,149288.0,21120.6,9.5,5,5356.1,0.4599586660458686,Sedang,-6.943973,107.578987
Bandung Kidul,5.233,63189.0,12074.7,13.5,5,4207.7,0.4304309045939493,Sedang,-6.957651,107.631185
Bandung Kulon,7.08,139136.0,19651.4,19.0,8,6372.8,0.4599357524118709,Sedang,-6.931351,107.56488
Bandung Wetan,3.41,29530.0,8659.9,73.0,12,1848.5,0.6810079671580898,Tinggi,-6.904779,107.617049
Batununggal,4.791,123565.0,25788.5,6.5,6,1814.0,0.5240920107357891,Tinggi,-6.925949,107.637143
Ujungberung,6.12,94964.0,15515.9,20.5,18,9478.2,0.32289062108142913,Rendah,-6.90541,107.705847
Sumur Bandung,3.445,40769.0,11833.6,62.0,15,960.9,0.6428615651137629,Tinggi,-6.914908,107.615227
Bojongloa Kaler,3.072,126845.0,41285.3,1.5,7,3789.6,0.5766653614664273,Tinggi,-6.932856,107.589447
Bojongloa Kidul,4.885,90155.0,18456.5,15.0,5,4242.6,0.4835866423926667,Sedang,-6.951276,107.598182
Buahbatu,7.371,108270.0,14688.1,35.0,22,4991.1,0.4252606615774278,Sedang,-6.950173,107.655856
Cibeunying Kaler,4.601,72571.0,15773.0,36.0,5,3750.8,0.5733476956847672,Tinggi,-6.888063,107.630083
Cibeunying Kidul,4.114,115891.0,28167.5,17.0,3,3450.8,0.5892226737316623,Tinggi,-6.900719,107.645364
Cibiru,6.67,79890.0,11978.4,3.0,6,11239.0,0.2691771655664151,Rendah,-6.914475,107.722975
Cicendo,7.265,98014.0,13491.8,27.0,19,4612.9,0.403888005892307,Sedang,-6.901767,107.584471
Cidadap,7.711,56456.0,7321.9,10.5,14,6570.5,0.2847593152144303,Rendah,-6.863517,107.606163
Cinambo,4.3,26752.0,6221.7,5.0,31,7776.4,0.1151881418356582,Rendah,-6.927699,107.691535
Coblong,7.197,118360.0,16446.2,33.0,11,4050.3,0.5179059217554445,Tinggi,-6.884784,107.615406
Gedebage,9.899,44558.0,4501.2,9.5,9,9139.6,0.25639052356933506,Rendah,-6.953569,107.697441
Kiaracondong,5.683,133291.0,23455.3,18.5,5,3183.2,0.5523853847734238,Tinggi,-6.924988,107.650037
Lengkong,5.796,72099.0,12440.3,33.0,27,1479.4,0.4159722530982178,Sedang,-6.933839,107.624781
Mandalajati,4.751,77542.0,16319.8,1.0,5,6166.2,0.37193145523885973,Rendah,-6.897639,107.67223
Panyileukan,5.204,42353.0,8138.0,10.0,4,9492.0,0.31458770342568676,Rendah,-6.932386,107.706604
Rancasari,6.922,90079.0,13013.1,4.5,6,6872.2,0.34771716665874147,Rendah,-6.954561,107.67375
Regol,4.758,81879.0,17207.0,15.5,9,2349.6,0.4769781896118255,Sedang,-6.940131,107.612613
Sukajadi,5.207,104894.0,20145.6,42.0,10,5010.2,0.5814252843603043,Tinggi,-6.888238,107.590138
Sukasari,6.273,79003.0,12593.5,27.0,11,7111.1,0.416073841561227,Sedang,-6.866659,107.587016
